,Latency,Time
0,0.00533877708446562,0
1,0.01144449334451383,0
2,0.029664960427235203,10
3,0.013063372148497366,15
4,0.007339380826779234,15
5,0.015348634388354184,25
6,0.025249423185121488,25
7,0.03358078593244318,30
8,0.014806521328388045,40
9,0.01746062320341298,40
10,0.014863451784261999,50
11,0.007446343643845467,55
12,0.05302576885288363,60
13,0.03966115203874506,65
14,0.04376633056348146,70
15,0.0675262915450785,75
16,0.03383500335041754,80
17,0.028987788026453926,85
18,0.056837070299987316,90
19,0.02092342203809676,95
20,0.027008732757905822,95
21,0.012829473128778775,100
22,0.018415115677520588,110
23,0.01980543101441981,110
24,0.031299064928294686,120
25,0.029306722248242295,120
26,0.03699709017872556,130
27,0.026431577342696987,135
28,0.03763845291921825,135
29,0.026014580421877327,140
30,0.030776623666473824,150
31,0.03002703716454562,155
32,0.022118346590172224,155
33,0.025546238109815024,160
34,0.015214839468544598,170
35,0.02718726283326214,170
36,0.007490075997906388,175
37,0.04526640296430924,180
38,0.016418080955470944,190
39,0.022456262942532706,190
40,0.024588106043776863,195
41,0.01373394558030486,200
42,0.026488809313437743,205
43,0.01774969671507097,210
44,0.025626790193386116,220
45,0.005054257902493191,220
46,0.014537044275919472,230
47,0.0028736448332456347,235
48,0.005257347920729444,235
49,0.009972775281335998,245
50,0.0034041844694274914,245
51,0.003288741671545722,255
52,0.004112806931852901,260
53,0.0035490705119791527,265
54,0.0027330917206672893,265
55,0.0058385327225860244,270
56,0.006120280433757216,275
57,0.004007908296885944,285
58,0.008846085579940337,285
59,0.008546448201619568,295
60,0.0038410369254725085,300
61,0.004422219064668753,300
62,0.012363088390531629,305
63,0.005854736295274053,310
64,0.0029241755215334707,315
65,0.003151829284199266,320
66,0.007530405489496844,325
67,0.007061026895255054,330
68,0.011174890194686668,335
69,0.003044278177610977,340
70,0.004499043727193566,345
71,0.004929254086086075,355
72,0.004742597440375903,360
73,0.0030255188736409764,365
74,0.009751789967165678,365
75,0.0038895809423956963,375
76,0.0033017316428104095,375
77,0.006893700917449679,380
78,0.0037792012889713076,385
79,0.0038892181012924994,395
80,0.005249027694277175,395
81,0.0028324013822712004,400
82,0.006802345202338984,410
83,0.01321435876977921,410
84,0.007081120749742695,420
85,0.0031502718571809964,425
86,0.0036464053948693617,430
87,0.003034391094935927,435
88,0.004201445729377156,435
89,0.011660431776888802,445
90,0.003043225351757428,445
91,0.005041822229244645,450
92,0.018281681093820227,455
93,0.00543201589140881,465
94,0.011405275669987532,465
95,0.003884945199401045,475
96,0.013317144081102015,480
