,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.001,0
1,1,1,0.001,0,0.001,0
2,2,2,0.001,5,0.001,0
3,3,3,0.001,10,0.001,0
4,4,4,0.001,15,0.001,0
5,5,5,0.001,20,0.001,0
6,6,6,0.001,25,0.001,0
7,7,7,0.001,35,0.001,0
8,8,8,0.001,35,0.001,0
9,9,9,0.016,40,0.016,0
10,10,10,0.001,50,0.001,0
11,11,11,0.005,50,0.005,0
12,12,12,0.011,55,0.011,0
13,13,13,0.002,60,0.002,0
14,14,14,0.012,65,0.012,0
15,15,15,0.002,75,0.002,0
16,16,16,0.004,75,0.004,0
17,17,17,0.004,80,0.004,0
18,18,18,0.006999999999999999,85,0.006999999999999999,0
19,19,19,0.006999999999999999,90,0.006999999999999999,0
20,20,20,0.001,95,0.001,0
21,21,21,0.001,100,0.001,0
22,22,22,0.002,105,0.002,0
23,23,23,0.006,110,0.006,0
24,24,24,0.01,115,0.01,0
25,25,25,0.012,120,0.012,0
26,26,26,0.013,125,0.013,0
27,27,27,0.001,130,0.001,0
28,28,28,0.001,135,0.001,0
29,29,29,0.001,140,0.001,0
30,30,30,0.002,145,0.002,0
31,31,31,0.005,150,0.005,0
32,32,32,0.002,155,0.002,0
33,33,33,0.001,165,0.001,0
34,34,34,0.021,165,0.021,0
35,35,35,0.005,170,0.005,0
36,36,36,0.006999999999999999,175,0.006999999999999999,0
37,37,37,0.003,180,0.003,0
38,38,38,0.003,185,0.003,0
39,39,39,0.003,190,0.003,0
40,40,40,0.004,195,0.004,0
41,41,41,0.001,200,0.001,0
42,42,42,0.001,205,0.001,0
43,43,43,0.009000000000000001,215,0.009000000000000001,0
44,44,44,0.006999999999999999,215,0.006999999999999999,0
45,45,45,0.001,220,0.001,0
46,46,46,0.005,225,0.005,0
47,47,47,0.001,230,0.001,0
48,48,48,0.003,235,0.003,0
49,49,49,0.001,240,0.001,0
50,50,50,0.01,245,0.01,0
